gridID,TreeFrac,CropFrac,ShrubFrac,HerbFrac
83,0.0000,0.0000,0.0000,0.0000
84,0.0000,0.0000,0.0000,0.0000
85,0.0000,0.0000,0.0000,0.0000
86,0.0000,0.0000,0.0000,0.0000
87,0.0000,0.0000,0.0000,0.0000
88,0.0000,0.0000,0.0000,0.0000
89,0.0000,0.0000,0.0000,0.0000
90,0.0000,0.0000,0.0000,0.0000
91,0.0000,0.0000,0.0000,0.0000
92,0.0000,0.0000,0.0000,0.0000
93,0.0000,0.0000,0.0000,0.0000
94,0.0000,0.0000,0.0000,0.0000
95,0.0000,0.0000,0.0000,0.0000
96,0.0000,0.0000,0.0000,0.0000
97,0.0000,0.0000,0.0000,0.0000
98,0.0000,0.0000,0.0000,0.0000
99,0.0000,0.0000,0.0000,0.0000
100,0.0000,0.0000,0.0000,0.0000
101,0.0000,0.0000,0.0000,0.0000
102,0.0000,0.0000,0.0000,0.0000
103,0.0000,0.0000,0.0000,0.0000
104,0.0000,0.0000,0.0000,0.0000
105,0.0000,0.0000,0.0000,0.0000
106,0.0000,0.0000,0.0000,0.0000
107,0.0000,0.0000,0.0000,0.0000
108,0.0000,0.0000,0.0000,0.0000
109,0.0000,0.0000,0.0000,0.0000
110,0.0000,0.0000,0.0000,0.0000
111,0.0000,0.0000,0.0000,0.0000
112,0.0000,0.0000,0.0000,0.0000
113,0.0000,0.0000,0.0000,0.0000
114,0.0000,0.0000,0.0000,0.0000
115,0.0000,0.0000,0.0000,0.0000
116,0.0000,0.0000,0.0000,0.0000
117,0.0000,0.0000,0.0000,0.0000
118,0.0000,0.0000,0.0000,0.0000
119,0.0000,0.0000,0.0000,0.0000
120,0.0000,0.0000,0.0000,0.0000
121,0.0000,0.0000,0.0000,0.0000
122,0.0000,0.0000,0.0000,0.0000
123,0.0000,0.0000,0.0000,0.0000
124,0.0000,0.0000,0.0000,0.0000
125,0.0000,0.0000,0.0000,0.0000
126,0.0000,0.0000,0.0000,0.0000
127,0.0000,0.0000,0.0000,0.0000
128,0.0000,0.0000,0.0000,0.0000
129,0.0000,0.0000,0.0000,0.0000
130,0.0000,0.0000,0.0000,0.0000
131,0.0000,0.0000,0.0000,0.0000
132,0.0000,0.0000,0.0000,0.0000
133,0.0000,0.0000,0.0000,0.0000
134,0.0000,0.0000,0.0000,0.0000
135,0.0000,0.0000,0.0000,0.0000
136,0.0000,0.0000,0.0000,0.0000
137,0.0000,0.0000,0.0000,0.0000
138,0.0000,0.0000,0.0000,0.0000
139,0.0000,0.0000,0.0000,0.0000
140,0.0000,0.0000,0.0000,0.0000
141,0.0000,0.0000,0.0000,0.0000
142,0.0000,0.0000,0.0000,0.0000
143,0.0000,0.0000,0.0000,0.0000
144,0.0000,0.0000,0.0000,0.0000
145,0.0000,0.0000,0.0000,0.0000
146,0.0000,0.0000,0.0000,0.0000
147,0.0000,0.0000,0.0000,0.0000
148,0.0000,0.0000,0.0000,0.0000
149,0.0000,0.0000,0.0000,0.0000
150,0.6790,0.0063,0.1801,0.1193
151,0.7384,0.0071,0.1244,0.1126
152,0.7733,0.0027,0.1127,0.0962
153,0.7274,0.0038,0.1383,0.1132
154,0.6627,0.0024,0.1855,0.1326
155,0.5167,0.0166,0.2763,0.1701
156,0.4085,0.0085,0.3550,0.1729
157,0.3847,0.0000,0.3854,0.1869
158,0.3063,0.0141,0.3574,0.2769
159,0.0652,0.1081,0.2243,0.4947
160,0.1280,0.0430,0.3210,0.4542
161,0.1577,0.1222,0.2954,0.3737
162,0.4542,0.0033,0.3084,0.2083
163,0.1429,0.0432,0.3280,0.4298
164,0.1825,0.0063,0.3877,0.3558
165,0.1366,0.0023,0.4030,0.3799
166,0.0325,0.0340,0.3884,0.4715
167,0.0348,0.0472,0.4261,0.4226
168,0.0326,0.0010,0.5024,0.4193
169,0.0282,0.0003,0.4856,0.4212
170,0.0187,0.0258,0.4570,0.3966
171,0.0343,0.1386,0.3433,0.2833
172,0.0323,0.1493,0.3471,0.3036
173,0.0456,0.0024,0.3964,0.3369
174,0.0558,0.0055,0.4953,0.3246
175,0.0175,0.0057,0.5209,0.3649
176,0.0375,0.0723,0.4294,0.3146
177,0.0402,0.0577,0.4669,0.3202
178,0.0332,0.1347,0.3793,0.2772
179,0.0085,0.0177,0.4663,0.3106
180,0.0105,0.0274,0.4678,0.3176
181,0.0212,0.0075,0.4575,0.3085
182,0.0086,0.0026,0.3257,0.2954
183,0.0081,0.0276,0.2051,0.2175
184,0.0115,0.0069,0.3442,0.2662
185,0.0345,0.0001,0.5250,0.2914
186,0.0928,0.0000,0.5443,0.2644
187,0.0740,0.0093,0.4708,0.2540
188,0.0437,0.0162,0.5034,0.3139
189,0.0528,0.0548,0.4716,0.3320
190,0.0328,0.0987,0.4494,0.2955
191,0.0275,0.0236,0.4875,0.3036
192,0.0205,0.0465,0.4517,0.3088
193,0.0306,0.0363,0.4217,0.3167
194,0.0313,0.0288,0.4420,0.3019
195,0.0415,0.0306,0.4656,0.3081
196,0.0715,0.0116,0.4890,0.3180
197,0.0284,0.0061,0.3109,0.2063
198,0.0261,0.0263,0.2551,0.1742
199,0.1398,0.0066,0.4537,0.2711
200,0.3935,0.0101,0.3885,0.1849
201,0.4726,0.0116,0.3221,0.1722
202,0.4271,0.0015,0.3841,0.1646
203,0.3831,0.0018,0.4500,0.1486
204,0.4865,0.0031,0.3315,0.1088
205,0.4420,0.0055,0.4109,0.0992
206,0.1459,0.0650,0.5289,0.2164
207,0.2031,0.0910,0.4486,0.2343
208,0.1802,0.1718,0.3131,0.3034
209,0.1951,0.1096,0.3798,0.2872
210,0.1765,0.0935,0.3935,0.3024
211,0.2352,0.0471,0.4182,0.2708
212,0.1940,0.0413,0.4296,0.2930
213,0.1562,0.0344,0.4335,0.3353
214,0.1250,0.0836,0.3732,0.3678
215,0.1056,0.1225,0.3490,0.3832
216,0.1101,0.1458,0.3231,0.3819
217,0.1121,0.3447,0.2848,0.2377
218,0.1364,0.2795,0.3335,0.2288
219,0.1741,0.2501,0.3109,0.2545
220,0.0756,0.6023,0.1549,0.1581
221,0.0190,0.8067,0.0411,0.1114
222,0.0017,0.8900,0.0117,0.0883
223,0.0030,0.9096,0.0086,0.0659
224,0.0124,0.8702,0.0208,0.0863
225,0.0157,0.8257,0.0316,0.1121
226,0.0518,0.5805,0.1018,0.2458
227,0.1540,0.1783,0.1684,0.3788
228,0.1623,0.1027,0.1521,0.3758
229,0.0986,0.0712,0.1235,0.3104
230,0.0000,0.0000,0.0001,0.0002
231,0.0000,0.0000,0.0000,0.0000
232,0.0000,0.0000,0.0000,0.0000
233,0.0000,0.0000,0.0000,0.0000
234,0.0000,0.0000,0.0000,0.0000
235,0.0000,0.0000,0.0000,0.0000
236,0.0000,0.0000,0.0000,0.0000
237,0.0000,0.0000,0.0000,0.0000
238,0.0000,0.0000,0.0000,0.0000
239,0.0000,0.0000,0.0000,0.0000
240,0.0000,0.0000,0.0000,0.0000
241,0.0000,0.0000,0.0000,0.0000
242,0.0000,0.0000,0.0000,0.0000
243,0.0000,0.0000,0.0000,0.0000
244,0.0000,0.0000,0.0000,0.0000
245,0.0000,0.0000,0.0000,0.0000
246,0.0000,0.0000,0.0000,0.0000
247,0.0000,0.0000,0.0000,0.0000
248,0.0000,0.0000,0.0000,0.0000
249,0.0000,0.0000,0.0000,0.0000
250,0.0000,0.0000,0.0000,0.0000
251,0.0000,0.0000,0.0000,0.0000
252,0.0000,0.0000,0.0000,0.0000
253,0.0000,0.0000,0.0000,0.0000
254,0.0000,0.0000,0.0000,0.0000
255,0.0000,0.0000,0.0000,0.0000
256,0.0000,0.0000,0.0000,0.0000
257,0.0000,0.0000,0.0000,0.0000
258,0.0000,0.0000,0.0000,0.0000
259,0.0000,0.0000,0.0000,0.0000
260,0.0000,0.0000,0.0000,0.0000
261,0.0000,0.0000,0.0000,0.0000
262,0.0000,0.0000,0.0000,0.0000
263,0.0000,0.0000,0.0000,0.0000
264,0.0000,0.0000,0.0000,0.0000
265,0.0000,0.0000,0.0000,0.0000
266,0.0000,0.0000,0.0000,0.0000
267,0.0000,0.0000,0.0000,0.0000
268,0.0000,0.0000,0.0000,0.0000
269,0.0000,0.0000,0.0000,0.0000
270,0.0000,0.0000,0.0000,0.0000
271,0.0000,0.0000,0.0000,0.0000
272,0.0000,0.0000,0.0000,0.0000
273,0.0000,0.0000,0.0000,0.0000
274,0.0000,0.0000,0.0000,0.0000
275,0.0000,0.0000,0.0000,0.0000
276,0.0000,0.0000,0.0000,0.0000
277,0.0000,0.0000,0.0000,0.0000
278,0.0000,0.0000,0.0000,0.0000
279,0.0000,0.0000,0.0000,0.0000
280,0.0000,0.0000,0.0000,0.0000
281,0.0000,0.0000,0.0000,0.0000
282,0.0000,0.0000,0.0000,0.0000
283,0.0000,0.0000,0.0000,0.0000
284,0.0000,0.0000,0.0000,0.0000
285,0.0000,0.0000,0.0000,0.0000
286,0.0000,0.0000,0.0000,0.0000
287,0.0000,0.0000,0.0000,0.0000
288,0.0000,0.0000,0.0000,0.0000
289,0.0000,0.0000,0.0000,0.0000
290,0.0000,0.0000,0.0000,0.0000
291,0.0000,0.0000,0.0000,0.0000
292,0.0000,0.0000,0.0000,0.0000
293,0.0000,0.0000,0.0000,0.0000
294,0.0000,0.0000,0.0000,0.0000
295,0.0000,0.0000,0.0000,0.0000
296,0.0000,0.0000,0.0000,0.0000
297,0.0000,0.0000,0.0000,0.0000
298,0.0000,0.0000,0.0000,0.0000
299,0.6912,0.0055,0.1568,0.1299
300,0.7201,0.0033,0.1469,0.1129
301,0.5795,0.0001,0.2419,0.1538
302,0.5979,0.0011,0.2241,0.1470
303,0.5675,0.0009,0.2650,0.1476
304,0.4079,0.0251,0.3166,0.2211
305,0.3132,0.0012,0.3655,0.2511
306,0.2292,0.0086,0.3430,0.3611
307,0.1075,0.0343,0.2896,0.4810
308,0.0992,0.0279,0.3075,0.4890
309,0.0914,0.0211,0.3162,0.4891
310,0.1081,0.0295,0.3252,0.4621
311,0.2015,0.0020,0.3994,0.3300
312,0.0997,0.0209,0.3503,0.4670
313,0.1084,0.0015,0.4096,0.4279
314,0.0478,0.0012,0.4372,0.4382
315,0.0293,0.0326,0.4253,0.4398
316,0.0199,0.0106,0.4737,0.4387
317,0.0174,0.0138,0.4875,0.4289
318,0.0149,0.0133,0.4795,0.4279
319,0.0093,0.0651,0.4105,0.3669
320,0.0236,0.0075,0.4546,0.3682
321,0.0205,0.0011,0.5003,0.3877
322,0.1167,0.0000,0.5086,0.3266
323,0.0621,0.1201,0.4134,0.3181
324,0.0485,0.0403,0.4493,0.3598
325,0.0378,0.0575,0.4274,0.3327
326,0.0379,0.1714,0.3069,0.2638
327,0.0316,0.1818,0.2967,0.2274
328,0.0277,0.2557,0.2505,0.2199
329,0.0148,0.1058,0.3542,0.2596
330,0.0042,0.0083,0.3181,0.2137
331,0.0034,0.0014,0.3082,0.2860
332,0.0142,0.0084,0.3348,0.3236
333,0.0136,0.0000,0.4658,0.3139
334,0.0662,0.0000,0.5168,0.2907
335,0.1104,0.0006,0.5302,0.2819
336,0.0433,0.0802,0.4125,0.2887
337,0.0212,0.0134,0.5183,0.3107
338,0.0222,0.0195,0.5108,0.3039
339,0.0128,0.0040,0.5136,0.3159
340,0.0142,0.0067,0.4611,0.3318
341,0.0055,0.0000,0.4921,0.3230
342,0.0164,0.0006,0.4625,0.3266
343,0.0157,0.0175,0.3833,0.3190
344,0.0395,0.0037,0.4987,0.3110
345,0.1150,0.0121,0.5010,0.2897
346,0.0880,0.0014,0.5284,0.2561
347,0.0206,0.0152,0.3552,0.2612
348,0.0874,0.0002,0.5052,0.2687
349,0.2478,0.0000,0.4739,0.2331
350,0.3558,0.0000,0.4389,0.1801
351,0.2958,0.0003,0.4912,0.1821
352,0.4279,0.0001,0.3778,0.1302
353,0.4375,0.0003,0.2573,0.0623
354,0.2500,0.0202,0.4983,0.1089
355,0.1200,0.0587,0.4885,0.1544
356,0.1358,0.0928,0.5352,0.1973
357,0.1342,0.1114,0.4724,0.2548
358,0.1328,0.0723,0.4793,0.2826
359,0.1379,0.0575,0.4857,0.2961
360,0.1809,0.0321,0.4022,0.2527
361,0.1115,0.0212,0.2454,0.2132
362,0.1768,0.0318,0.4190,0.3223
363,0.1058,0.0721,0.3879,0.3801
364,0.0506,0.1030,0.3672,0.4409
365,0.1381,0.0915,0.3618,0.3638
366,0.1501,0.2286,0.3312,0.2707
367,0.1165,0.3258,0.2863,0.2436
368,0.0873,0.4604,0.1891,0.2306
369,0.1077,0.4528,0.2171,0.2069
370,0.0262,0.7946,0.0544,0.1105
371,0.0028,0.8677,0.0182,0.0958
372,0.0049,0.8976,0.0139,0.0628
373,0.0114,0.8188,0.0213,0.0875
374,0.0176,0.7550,0.0306,0.1200
375,0.0188,0.7954,0.0382,0.1335
376,0.1152,0.3565,0.1449,0.3229
377,0.1687,0.1350,0.1518,0.3533
378,0.1030,0.1636,0.1010,0.2993
379,0.0150,0.0247,0.0300,0.0764
380,0.0000,0.0000,0.0000,0.0000
381,0.0000,0.0000,0.0000,0.0000
382,0.0000,0.0000,0.0000,0.0000
383,0.0000,0.0000,0.0000,0.0000
384,0.0000,0.0000,0.0000,0.0000
385,0.0000,0.0000,0.0000,0.0000
386,0.0000,0.0000,0.0000,0.0000
387,0.0000,0.0000,0.0000,0.0000
388,0.0000,0.0000,0.0000,0.0000
389,0.0000,0.0000,0.0000,0.0000
390,0.0000,0.0000,0.0000,0.0000
391,0.0000,0.0000,0.0000,0.0000
392,0.0000,0.0000,0.0000,0.0000
393,0.0000,0.0000,0.0000,0.0000
394,0.0000,0.0000,0.0000,0.0000
395,0.0000,0.0000,0.0000,0.0000
396,0.0000,0.0000,0.0000,0.0000
397,0.0000,0.0000,0.0000,0.0000
398,0.0000,0.0000,0.0000,0.0000
399,0.0000,0.0000,0.0000,0.0000
400,0.0000,0.0000,0.0000,0.0000
401,0.0000,0.0000,0.0000,0.0000
402,0.0000,0.0000,0.0000,0.0000
403,0.0000,0.0000,0.0000,0.0000
404,0.0000,0.0000,0.0000,0.0000
405,0.0000,0.0000,0.0000,0.0000
406,0.0000,0.0000,0.0000,0.0000
407,0.0000,0.0000,0.0000,0.0000
408,0.0000,0.0000,0.0000,0.0000
409,0.0000,0.0000,0.0000,0.0000
410,0.0000,0.0000,0.0000,0.0000
411,0.0000,0.0000,0.0000,0.0000
412,0.0000,0.0000,0.0000,0.0000
413,0.0000,0.0000,0.0000,0.0000
414,0.0000,0.0000,0.0000,0.0000
415,0.0000,0.0000,0.0000,0.0000
416,0.0000,0.0000,0.0000,0.0000
417,0.0000,0.0000,0.0000,0.0000
418,0.0000,0.0000,0.0000,0.0000
419,0.0000,0.0000,0.0000,0.0000
420,0.0000,0.0000,0.0000,0.0000
421,0.0000,0.0000,0.0000,0.0000
422,0.0000,0.0000,0.0000,0.0000
423,0.0000,0.0000,0.0000,0.0000
424,0.0000,0.0000,0.0000,0.0000
425,0.0000,0.0000,0.0000,0.0000
426,0.0000,0.0000,0.0000,0.0000
427,0.0000,0.0000,0.0000,0.0000
428,0.0000,0.0000,0.0000,0.0000
429,0.0000,0.0000,0.0000,0.0000
430,0.0000,0.0000,0.0000,0.0000
431,0.0000,0.0000,0.0000,0.0000
432,0.0000,0.0000,0.0000,0.0000
433,0.0000,0.0000,0.0000,0.0000
434,0.0000,0.0000,0.0000,0.0000
435,0.0000,0.0000,0.0000,0.0000
436,0.0000,0.0000,0.0000,0.0000
437,0.0000,0.0000,0.0000,0.0000
438,0.0000,0.0000,0.0000,0.0000
439,0.0000,0.0000,0.0000,0.0000
440,0.0000,0.0000,0.0000,0.0000
441,0.0000,0.0000,0.0000,0.0000
442,0.0000,0.0000,0.0000,0.0000
443,0.0000,0.0000,0.0000,0.0000
444,0.0000,0.0000,0.0000,0.0000
445,0.0000,0.0000,0.0000,0.0000
446,0.0000,0.0000,0.0000,0.0000
447,0.0000,0.0000,0.0000,0.0000
448,0.7008,0.0016,0.1755,0.1116
449,0.6677,0.0060,0.1937,0.1201
450,0.6207,0.0015,0.2193,0.1449
451,0.5823,0.0028,0.2447,0.1514
452,0.5205,0.0092,0.2923,0.1513
453,0.3941,0.0007,0.3638,0.1952
454,0.1961,0.0353,0.3091,0.3906
455,0.1112,0.0579,0.2646,0.4600
456,0.3486,0.0040,0.3535,0.2645
457,0.3194,0.0006,0.3587,0.2864
458,0.0575,0.0195,0.2872,0.5556
459,0.0614,0.0426,0.3207,0.5031
460,0.0616,0.0135,0.3701,0.4800
461,0.0372,0.0179,0.3938,0.4872
462,0.0378,0.0014,0.4753,0.4224
463,0.0393,0.0045,0.4381,0.4607
464,0.0463,0.0000,0.4922,0.4224
465,0.0224,0.0252,0.4575,0.4353
466,0.0163,0.0228,0.4613,0.4395
467,0.0130,0.0353,0.4532,0.4093
468,0.0145,0.0447,0.4556,0.3793
469,0.0511,0.0055,0.5195,0.3707
470,0.0609,0.0066,0.4992,0.3699
471,0.1338,0.0005,0.5120,0.3222
472,0.0391,0.2396,0.3053,0.2740
473,0.0490,0.1705,0.3208,0.3076
474,0.0279,0.0569,0.2443,0.2083
475,0.0144,0.0426,0.1233,0.1039
476,0.0344,0.3030,0.2056,0.1705
477,0.0262,0.1984,0.3169,0.2292
478,0.0069,0.0258,0.3493,0.2547
479,0.0030,0.0040,0.3191,0.2413
480,0.0133,0.0006,0.4116,0.2910
481,0.0134,0.0003,0.4052,0.2957
482,0.0041,0.0060,0.4019,0.2948
483,0.0049,0.0019,0.4670,0.3313
484,0.0086,0.0002,0.5288,0.3422
485,0.0084,0.0110,0.4170,0.2630
486,0.0076,0.0127,0.4273,0.2643
487,0.0076,0.0116,0.4327,0.2820
488,0.0085,0.0205,0.3628,0.2681
489,0.0075,0.0075,0.3581,0.2640
490,0.0093,0.0014,0.3356,0.2978
491,0.0004,0.0003,0.2885,0.2816
492,0.0077,0.0058,0.3466,0.3050
493,0.0444,0.0001,0.5042,0.3182
494,0.1486,0.0015,0.5573,0.2359
495,0.0703,0.0055,0.5315,0.2793
496,0.0469,0.0043,0.5416,0.2705
497,0.0500,0.0002,0.5618,0.2787
498,0.1624,0.0000,0.5195,0.2568
499,0.2293,0.0068,0.4874,0.2126
500,0.1169,0.0018,0.3352,0.1690
501,0.0459,0.0001,0.0799,0.0330
502,0.0548,0.0026,0.0715,0.0283
503,0.0808,0.0580,0.3282,0.1333
504,0.1623,0.0661,0.5878,0.1627
505,0.1935,0.1075,0.4661,0.2064
506,0.2043,0.1065,0.4575,0.1994
507,0.1679,0.1390,0.3870,0.2566
508,0.1071,0.1070,0.4358,0.3166
509,0.0951,0.0508,0.4770,0.3015
510,0.1178,0.0169,0.2437,0.2164
511,0.1575,0.0373,0.3766,0.3528
512,0.1636,0.0446,0.3838,0.3482
513,0.0701,0.0589,0.4453,0.3837
514,0.1055,0.0786,0.4171,0.3545
515,0.2124,0.1383,0.3705,0.2616
516,0.1520,0.2477,0.3275,0.2538
517,0.0718,0.5330,0.1474,0.2009
518,0.0648,0.5201,0.1467,0.2406
519,0.0196,0.7640,0.0551,0.1481
520,0.0181,0.8268,0.0426,0.1019
521,0.0085,0.9036,0.0163,0.0610
522,0.0084,0.8790,0.0165,0.0822
523,0.0152,0.8116,0.0220,0.1101
524,0.0161,0.7977,0.0380,0.1382
525,0.1517,0.3048,0.1579,0.3215
526,0.1719,0.3137,0.1286,0.3130
527,0.1485,0.1382,0.1451,0.3338
528,0.0307,0.0839,0.0362,0.1138
529,0.0000,0.0000,0.0000,0.0000
530,0.0000,0.0000,0.0000,0.0000
531,0.0000,0.0000,0.0000,0.0000
532,0.0000,0.0000,0.0000,0.0000
533,0.0000,0.0000,0.0000,0.0000
534,0.0000,0.0000,0.0000,0.0000
535,0.0000,0.0000,0.0000,0.0000
536,0.0000,0.0000,0.0000,0.0000
537,0.0000,0.0000,0.0000,0.0000
538,0.0000,0.0000,0.0000,0.0000
539,0.0000,0.0000,0.0000,0.0000
540,0.0000,0.0000,0.0000,0.0000
541,0.0000,0.0000,0.0000,0.0000
542,0.0000,0.0000,0.0000,0.0000
543,0.0000,0.0000,0.0000,0.0000
544,0.0000,0.0000,0.0000,0.0000
545,0.0000,0.0000,0.0000,0.0000
546,0.0000,0.0000,0.0000,0.0000
547,0.0000,0.0000,0.0000,0.0000
548,0.0000,0.0000,0.0000,0.0000
549,0.0000,0.0000,0.0000,0.0000
550,0.0000,0.0000,0.0000,0.0000
551,0.0000,0.0000,0.0000,0.0000
552,0.0000,0.0000,0.0000,0.0000
553,0.0000,0.0000,0.0000,0.0000
554,0.0000,0.0000,0.0000,0.0000
555,0.0000,0.0000,0.0000,0.0000
556,0.0000,0.0000,0.0000,0.0000
557,0.0000,0.0000,0.0000,0.0000
558,0.0000,0.0000,0.0000,0.0000
559,0.0000,0.0000,0.0000,0.0000
560,0.0000,0.0000,0.0000,0.0000
561,0.0000,0.0000,0.0000,0.0000
562,0.0000,0.0000,0.0000,0.0000
563,0.0000,0.0000,0.0000,0.0000
564,0.0000,0.0000,0.0000,0.0000
565,0.0000,0.0000,0.0000,0.0000
566,0.0000,0.0000,0.0000,0.0000
567,0.0000,0.0000,0.0000,0.0000
568,0.0000,0.0000,0.0000,0.0000
569,0.0000,0.0000,0.0000,0.0000
570,0.0000,0.0000,0.0000,0.0000
571,0.0000,0.0000,0.0000,0.0000
572,0.0000,0.0000,0.0000,0.0000
573,0.0000,0.0000,0.0000,0.0000
574,0.0000,0.0000,0.0000,0.0000
575,0.0000,0.0000,0.0000,0.0000
576,0.0000,0.0000,0.0000,0.0000
577,0.0000,0.0000,0.0000,0.0000
578,0.0000,0.0000,0.0000,0.0000
579,0.0000,0.0000,0.0000,0.0000
580,0.0000,0.0000,0.0000,0.0000
581,0.0000,0.0000,0.0000,0.0000
582,0.0000,0.0000,0.0000,0.0000
583,0.0000,0.0000,0.0000,0.0000
584,0.0000,0.0000,0.0000,0.0000
585,0.0000,0.0000,0.0000,0.0000
586,0.0000,0.0000,0.0000,0.0000
587,0.0000,0.0000,0.0000,0.0000
588,0.0000,0.0000,0.0000,0.0000
589,0.0000,0.0000,0.0000,0.0000
590,0.0000,0.0000,0.0000,0.0000
591,0.0000,0.0000,0.0000,0.0000
592,0.0000,0.0000,0.0000,0.0000
593,0.0000,0.0000,0.0000,0.0000
594,0.0000,0.0000,0.0000,0.0000
595,0.0000,0.0000,0.0000,0.0000
596,0.0000,0.0000,0.0000,0.0000
597,0.5190,0.0062,0.3320,0.1337
598,0.6089,0.0026,0.2440,0.1345
599,0.5927,0.0029,0.2402,0.1424
600,0.6333,0.0007,0.2230,0.1293
601,0.4905,0.0033,0.3204,0.1552
602,0.3242,0.0000,0.3735,0.2582
603,0.3308,0.0017,0.3690,0.2666
604,0.2750,0.0016,0.3632,0.3002
605,0.4904,0.0000,0.3063,0.1761
606,0.3610,0.0053,0.3304,0.2511
607,0.0474,0.1134,0.2170,0.5470
608,0.0356,0.0704,0.3311,0.4951
609,0.0272,0.0817,0.3302,0.4543
610,0.0206,0.0132,0.3670,0.4029
611,0.0224,0.0145,0.4785,0.4124
612,0.0343,0.0066,0.5270,0.3797
613,0.0339,0.0878,0.4296,0.4074
614,0.0201,0.0754,0.3767,0.4718
615,0.0167,0.0357,0.4417,0.4378
616,0.0141,0.0217,0.4802,0.4053
617,0.0325,0.0195,0.4839,0.4019
618,0.0716,0.0013,0.5282,0.3588
619,0.0305,0.0315,0.4868,0.3627
620,0.1513,0.0009,0.5045,0.3108
621,0.0151,0.0281,0.4447,0.3867
622,0.0434,0.1165,0.3773,0.3044
623,0.0316,0.3020,0.1528,0.1502
624,0.0250,0.2413,0.2076,0.1687
625,0.0370,0.4413,0.1900,0.1616
626,0.0070,0.0118,0.4346,0.2902
627,0.0168,0.0977,0.3909,0.2473
628,0.0117,0.0934,0.3543,0.2185
629,0.0070,0.0254,0.3361,0.2342
630,0.0162,0.0290,0.3176,0.3258
631,0.0123,0.0086,0.2605,0.3074
632,0.0071,0.0056,0.2884,0.2623
633,0.0093,0.0179,0.3069,0.2484
