EcoTypeID,VegID,treeSpecfrac,EcoTypeDescription
2401,Catalpa spp.,0.002,Houston
2401,Celtis laevigata,0.051,Houston
2401,Celtis occidentalis,0.0069,Houston
2401,Cephalanthus occidentalis,0.00008,Houston
2401,Citrus xsinensis,0.001,Houston
2401,Crataegus spp.,0.001,Houston
2401,Cupressus sempervirens,0.0002,Houston
2401,Cupressus spp.,0.0011,Houston
2401,Diospyros virginiana,0.0008,Houston
2401,Ficus carica,0.00004,Houston
2401,Fraxinus americana,0.0037,Houston
2401,Fraxinus berlandieriana,0.0061,Houston
2401,Fraxinus caroliniana,0.0022,Houston
2401,Fraxinus pennsylvanica,0.054,Houston
2401,Fraxinus spp.,0.0011,Houston
2401,Fraxinus velutina,0.0042,Houston
2401,Gleditsia triacanthos,0.00005,Houston
2401,Ilex opaca,0.0011,Houston
2401,Ilex vomitoria,0.013,Houston
2401,Juniperus pinchotii,0.0003,Houston
2401,Juniperus virginiana,0.0014,Houston
2401,Lagerstroemia indica,0.015,Houston
2401,Ligustrum amurense,0.0002,Houston
2401,Ligustrum japonicum,0.02,Houston
2401,Ligustrum sinense,0.0016,Houston
2401,Liquidambar styraciflua,0.029,Houston
2401,Magnolia grandiflora,0.0048,Houston
2401,Melia azedarach,0.018,Houston
2401,Morus alba,0.018,Houston
2401,Morus rubra,0.0016,Houston
2401,Nyssa sylvatica,0.002,Houston
2401,Ostrya virginiana,0.0003,Houston
2401,Phoenix dactylifera,0.0023,Houston
2401,Pinus echinata,0.0024,Houston
2401,Pinus elliottii,0.0006,Houston
2401,Pinus palustris,0.0014,Houston
2401,Pinus taeda,0.107,Houston
2401,Planera aquatica,0.0004,Houston
2401,Platanus mexicana,0.0055,Houston
2401,Platanus occidentalis,0.0083,Houston
2401,Poncirus trifoliata,0.0002,Houston
2401,Prunus serotina,0.0004,Houston
2401,Pyrus calleryana,0.0017,Houston
2401,Pyrus communis,0.0002,Houston
2401,Quercus alba,0.0051,Houston
2401,Quercus falcata,0.033,Houston
2401,Quercus laurifolia,0.0028,Houston
2401,Quercus lyrata,0.002,Houston
2401,Quercus nigra,0.1,Houston
2401,Quercus pagoda,0.012,Houston
2401,Quercus phellos,0.038,Houston
2401,Quercus shumardii,0.0077,Houston
2401,Quercus stellata,0.045,Houston
2401,Quercus virginiana,0.123,Houston
2401,Sabal mexicana,0.0036,Houston
2401,Sabal palmetto,0.0004,Houston
2401,Salix nigra,0.01,Houston
2401,Samanea saman,0.0027,Houston
2401,Sideroxylon lanuginosum,0.0003,Houston
2401,Taxodium distichum,0.0025,Houston
2401,Tilia americana,0.0007,Houston
2401,Triadica sebifera,0.084,Houston
2401,Ulmus alata,0.0072,Houston
2401,Ulmus americana,0.028,Houston
2401,Ulmus crassifolia,0.0054,Houston
2401,Ulmus parvifolia,0.0028,Houston
2401,Ulmus rubra,0.0019,Houston
2401,Ulmus spp.,0.0002,Houston
2401,Vaccinium arboreum,0.00003,Houston
2401,Zanthoxylum clava-herculis,0.0004,Houston
2402,Acacia farnesiana,0.017,San Antonio
2402,Acacia greggii,0.0023,San Antonio
2402,Ailanthus altissima,0.0022,San Antonio
2402,Baccharis halimifolia,0.0003,San Antonio
2402,Carya illinoinensis,0.033,San Antonio
2402,Carya texana,0.02,San Antonio
2402,Celtis laevigata,0.084,San Antonio
2402,Celtis occidentalis,0.0003,San Antonio
2402,Citrus spp.,0.0001,San Antonio
2402,Condalia hookeri,0.01,San Antonio
2402,Cupressus sempervirens,0.0001,San Antonio
2402,Cyathea tenera,0.0007,San Antonio
2402,Cycas circinalis,0.0014,San Antonio
2402,Diospyros texana,0.0097,San Antonio
2402,Ehretia anacua,0.0003,San Antonio
2402,Eriobotrya japonica,0.0019,San Antonio
2402,Family Arecaceae not listed above,0.0005,San Antonio
2402,Fraxinus pennsylvanica,0.0013,San Antonio
2402,Fraxinus velutina,0.019,San Antonio
2402,Juglans microcarpa,0.0027,San Antonio
2402,Juglans nigra,0.0033,San Antonio
2402,Juniperus ashei,0.221,San Antonio
2402,Lagerstroemia indica,0.012,San Antonio
2402,Ligustrum japonicum,0.013,San Antonio
2402,Ligustrum lucidum,0.0002,San Antonio
2402,Ligustrum sinense,0.0004,San Antonio
2402,Maclura pomifera,0.0016,San Antonio
2402,Magnolia grandiflora,0.0014,San Antonio
2402,Malus spp.,0.0004,San Antonio
2402,Melia azedarach,0.019,San Antonio
2402,Morus alba,0.0006,San Antonio
2402,Morus rubra,0.0033,San Antonio
2402,Parkinsonia aculeata,0.0003,San Antonio
2402,Pistacia chinensis,0.0016,San Antonio
2402,Prosopis glandulosa,0.091,San Antonio
2402,Prunus persica,0.0004,San Antonio
2402,Prunus serotina,0.0003,San Antonio
2402,Pyrus calleryana,0.0042,San Antonio
2402,Quercus buckleyi,0.0055,San Antonio
2402,Quercus fusiformis,0.0045,San Antonio
2402,Quercus havardii,0.0023,San Antonio
2402,Quercus laceyi,0.0079,San Antonio
2402,Quercus macrocarpa,0.0015,San Antonio
2402,Quercus marilandica,0.012,San Antonio
2402,Quercus shumardii,0.0063,San Antonio
2402,Quercus sinuata,0.0045,San Antonio
2402,Quercus stellata,0.02,San Antonio
2402,Quercus texana,0.0045,San Antonio
2402,Quercus virginiana,0.237,San Antonio
2402,Salix nigra,0.011,San Antonio
2402,Sapindus saponaria,0.0002,San Antonio
2402,Sideroxylon lanuginosum,0.00007,San Antonio
2402,Sophora affinis,0.0002,San Antonio
2402,Sophora secundiflora,0.011,San Antonio
2402,Triadica sebifera,0.0027,San Antonio
2402,Ulmus americana,0.0025,San Antonio
2402,Ulmus crassifolia,0.084,San Antonio
2402,Ungnadia speciosa,0.00003,San Antonio
2402,Washingtonia robusta,0.0015,San Antonio
2403,Lagerstroemia indica,0.001,CTCOG
2403,Ligustrum,0.002,CTCOG
2403,Fraxinus,0.08,CTCOG
2403,Prosopis,0.03,CTCOG
2403,Ulmus,0.12,CTCOG
2403,Juniperus,0.1,CTCOG
2403,Magnolia,0.005,CTCOG
2403,Carya illinoinensis,0.18,CTCOG
2403,Diospyros,0.007,CTCOG
2403,Celtis,0.04,CTCOG
2403,Pinus,0.007,CTCOG
2403,Triadica sebifera,0.018,CTCOG
2403,Acacia,0.001,CTCOG
2403,Prunus serotina,0.001,CTCOG
2403,Melia azedarach,0.001,CTCOG
2403,Ilex vomitoria,0.001,CTCOG
2403,Nyssa,0.001,CTCOG
2403,Populus,0.003,CTCOG
2403,Quercus Iso,0.37,CTCOG
2403,Liquidambar styraciflua,0.008,CTCOG
2403,Platanus,0.024,CTCOG
2404,Fraxinus,0.045,HOTCOG
2404,Prosopis,0.01,HOTCOG
2404,Lagerstroemia indica,0.01,HOTCOG
2404,Ligustrum,0.005,HOTCOG
2404,Ulmus,0.17,HOTCOG
2404,Juniperus,0.06,HOTCOG
2404,Magnolia,0.002,HOTCOG
2404,Morus,0.01,HOTCOG
2404,Asimina triloba,0.005,HOTCOG
2404,Carya illinoinensis,0.214,HOTCOG
2404,Diospyros,0.006,HOTCOG
2404,Celtis,0.071,HOTCOG
2404,Pinus,0.006,HOTCOG
2404,Triadica sebifera,0.022,HOTCOG
2404,Catalpa,0.002,HOTCOG
2404,Ilex vomitoria,0.001,HOTCOG
2404,Taxodium,0.001,HOTCOG
2404,Populus,0.005,HOTCOG
2404,Quercus,0.335,HOTCOG
2404,Liquidambar styraciflua,0.005,HOTCOG
2404,Bambusoideae,0.005,HOTCOG
2404,Platanus,0.005,HOTCOG
2404,Salix,0.005,HOTCOG
2405,Platanus,0.004,ETCOG
2405,Prosopis,0.002,ETCOG
2405,Juniperus,0.002,ETCOG
2405,Melia azedarach,0.001,ETCOG
2405,Fraxinus,0.035,ETCOG
2405,Ulmus,0.125,ETCOG
2405,Carya illinoinensis,0.04,ETCOG
2405,Pinus,0.22,ETCOG
2405,Lagerstroemia indica,0.01,ETCOG
2405,Celtis,0.04,ETCOG
2405,Magnolia,0.01,ETCOG
2405,Diospyros,0.02,ETCOG
2405,Ligustrum,0.01,ETCOG
2405,Triadica sebifera,0.02,ETCOG
2405,Populus,0.01,ETCOG
2405,Quercus,0.41,ETCOG
2405,Liquidambar styraciflua,0.04,ETCOG
2405,Salix,0.001,ETCOG
3001,Abies concolor,0.060475928,
3001,Abies grandis,3.44E-05,
3001,Abies lasiocarpa,0.00666436,
3001,Juniperus deppeana,0.001433326,
3001,Juniperus monosperma,0.040047549,
3001,Juniperus occidentalis,0.051072344,
3001,Juniperus osteosperma,0.310650331,
3001,Juniperus scopulorum,0.00710617,
3001,Larix occidentalis,0.000838044,
3001,Picea engelmannii,0.007851202,
3001,Pinus albicaulis,0.010157917,
3001,Pinus contorta,0.04122602,
3001,Pinus edulis,0.099926336,
3001,Pinus flexilis,0.009720757,
3001,Pinus ponderosa,0.067838814,
3001,Pinus quadrifolia,0.118766988,
3001,Populus deltoides,0.012629264,
3001,Populus tremuloides,0.032506079,
3001,Populus trichocarpa,0.010569033,
3001,Pseudotsuga menziesii,0.099331055,
3001,Quercus gambelii,0.01025651,
3001,Quercus garryana,0.000897573,
3002,Abies concolor,0.085825097,
3002,Abies magnifica,0.124714762,
3002,Calocedrus decurrens,0.007417917,
3002,Juniperus occidentalis,0.003085983,
3002,Olneya tesota,0.000165762,
3002,Pinus albicaulis,0.071646366,
3002,Pinus balfouriana,0.02071409,
3002,Pinus contorta,0.35453274,
3002,Pinus jeffreyi,0.129924261,
3002,Pinus lambertiana,0.016855898,
3002,Pinus monticola,0.103051285,
3002,Pinus ponderosa,0.033457326,
3002,Pinus quadrifolia,0.002976109,
3002,Pinus sabiniana,0.001297083,
3002,Populus tremuloides,0.007941602,
3002,Pseudotsuga macrocarpa,0.000994335,
3002,Pseudotsuga menziesii,0.003368754,
3002,Quercus agrifolia,0.00826623,
3002,Quercus chrysolepis,0.002682636,
3002,Quercus douglasii,0.000912762,
3002,Quercus garryana,0.000434264,
3002,Quercus kelloggii,0.00280892,
3002,Quercus lobata,0.0006269,
3002,Quercus wislizeni,0.003293126,
3002,Tsuga mertensiana,0.013005792,
3003,Abies amabilis,0.040324574,
3003,Abies grandis,0.003405663,
3003,Abies lasiocarpa,0.212146075,
3003,Abies procera,0.005065787,
3003,Alnus rubra,0.043099626,
3003,Arbutus menziesii,0.000169011,
3003,Calocedrus decurrens,2.73E-06,
3003,Chamaecyparis nootkatensis,0.012732163,
3003,Larix lyallii,0.015699851,
3003,Picea engelmannii,0.013630829,
3003,Pinus albicaulis,0.052523353,
3003,Pinus contorta,0.151905462,
3003,Pinus monticola,0.025473413,
3003,Pinus ponderosa,0.034675426,
3003,Populus trichocarpa,0.004030822,
3003,Pseudotsuga menziesii,0.147810125,
3003,Quercus kelloggii,0.00610257,
3003,Thuja plicata,0.030565551,
3003,Tsuga heterophylla,0.082931705,
3003,Tsuga mertensiana,0.117705266,
3004,Abies concolor,0.034629934,
3004,Celtis,0.00355203,
3004,Juniperus deppeana,0.049813212,
3004,Juniperus monosperma,0.072783632,
3004,Juniperus osteosperma,0.318570897,
3004,Juniperus scopulorum,0.01143339,
3004,Pinus edulis,0.167063169,
3004,Pinus jeffreyi,0.22732519,
3004,Pseudotsuga macrocarpa,0.015112614,
3004,Quercus chrysolepis,0.099084669,
3004,Quercus emoryi,0.000631263,
3006,Abies concolor,0.012049306,
3006,Abies grandis,0.044998337,
3006,Abies lasiocarpa,0.127102708,
3006,Acer macrophyllum,0.004560492,
3006,Betula papyrifera,0.00041091,
3006,Juniperus occidentalis,0.01429278,
3006,Juniperus osteosperma,0.004194114,
3006,Juniperus scopulorum,0.004258213,
3006,Larix lyallii,0.004195464,
3006,Larix occidentalis,0.008775522,
3006,Picea engelmannii,0.140322669,
3006,Pinus albicaulis,0.021529246,
3006,Pinus contorta,0.246742916,
3006,Pinus edulis,0.004743343,
3006,Pinus flexilis,0.012701769,
3006,Pinus monticola,0.000746925,
3006,Pinus ponderosa,0.162177134,
3006,Populus tremuloides,0.033230392,
3006,Pseudotsuga menziesii,0.138411162,
3006,Thuja plicata,0.014556599,
3007,Juniperus scopulorum,0.342707472,
3007,Populus,0.657292528,
3008,Abies amabilis,0.005907697,
3008,Abies concolor,0.000239501,
3008,Abies grandis,0.013317267,
3008,Abies procera,0.033752212,
3008,Acer macrophyllum,0.003248236,
3008,Alnus rubra,0.020614571,
3008,Arbutus menziesii,0.033921859,
3008,Calocedrus decurrens,0.021829541,
3008,Cornus nuttallii,0.002851562,
3008,Lithocarpus densiflorus,0.03461292,
3008,Pinus jeffreyi,0.002404992,
3008,Pinus lambertiana,0.020968833,
3008,Pinus muricata,0.134929014,
3008,Pinus ponderosa,0.073299855,
3008,Pseudotsuga menziesii,0.245910399,
3008,Quercus chrysolepis,0.057116058,
3008,Quercus garryana,0.046321037,
3008,Quercus kelloggii,0.104387616,
3008,Quercus wislizeni,0.026647009,
3008,Sequoia sempervirens,0.089640825,
3008,Torreya californica,8.23E-05,
3008,Tsuga heterophylla,0.025636613,
3008,Tsuga mertensiana,0.002360085,
3009,Abies lasiocarpa,9.12E-05,
3009,Acer glabrum,0.01712358,
3009,Acer negundo,0.000236357,
3009,Alnus,0.005886113,
3009,Alnus sinuata,2.17E-09,
3009,Alnus tenuifolia,0.000198537,
3009,Betula glandulosa,0.002519124,
3009,Betula occidentalis,0.001180946,
3009,Cornus canadensis,0.002147451,
3009,Cornus stolonifera,0.1740522,
3009,Crataegus,0.003313595,
3009,Crataegus douglasii,0.000387718,
3009,Elaeagnus commutata,0.001070588,
3009,Fraxinus pennsylvanica,0.000265312,
3009,Juniperus,0.2134118,
3009,Juniperus horizontalis,0.007537572,
3009,Juniperus scopulorum,0.0161166,
3009,Pinus albicaulis,0.000151432,
3009,Pinus contorta,5.05E-05,
3009,Pinus ponderosa,0.003899596,
3009,Populus balsamifera ssp. trichocarpa,5.20E-05,
3009,Populus deltoides,0.000326731,
3009,Populus tremuloides,0.000460244,
3009,Populus tremuloides,1.01E-06,
3009,Prunus,0.001410899,
3009,Prunus virginiana,0.07670501,
3009,Pseudotsuga menziesii,0.000340467,
3009,Pseudotsuga menziesii var. glauca,1.56E-05,
3009,Quercus macrocarpa,3.59E-05,
3009,Salix,0.4486428,
3009,Salix lasiandra,7.76E-05,
3009,Salix scouleriana,0.02229146,
3011,Abies amabilis,0.00211693,
3011,Abies concolor,0.077824819,
3011,Abies grandis,0.013162523,
3011,Abies lasiocarpa,0.097275224,
3011,Abies magnifica,0.028649551,
3011,Abies procera,0.000596987,
3011,Acer glabrum,0.002498253,
3011,Acer grandidentatum,0.004594793,
3011,Acer macrophyllum,0.000205436,
3011,Alnus rubra,0.000949497,
3011,Cercocarpus ledifolius,0.005198933,
3011,Juniperus occidentalis,0.011731426,
3011,Juniperus osteosperma,0.003631392,
3011,Juniperus scopulorum,0.003673308,
3011,Larix occidentalis,0.001441125,
3011,Picea engelmannii,0.044442359,
3011,Picea pungens,0.003815167,
3011,Picea sitchensis,0.000127486,
3011,Pinus albicaulis,0.004176301,
3011,Pinus aristata,0.000589901,
3011,Pinus contorta,0.076480094,
3011,Pinus edulis,0.002660703,
3011,Pinus flexilis,0.002900567,
3011,Pinus jeffreyi,0.004468778,
3011,Pinus monticola,1.38E-05,
3011,Pinus ponderosa,0.153356954,
3011,Pinus quadrifolia,8.42E-06,
3011,Populus angustifolia,0.000229235,
3011,Populus tremuloides,0.19664525,
3011,Populus trichocarpa,0.002104496,
3011,Prunus,2.31E-05,
3011,Pseudotsuga menziesii,0.220577135,
3011,Quercus,0.001058064,
3011,Quercus gambelii,0.014405433,
3011,Salix,0.000105492,
3011,Taxus brevifolia,1.48E-05,
3011,Thuja plicata,0.005500569,
3011,Tsuga heterophylla,0.011527394,
3011,Tsuga mertensiana,0.001099713,
3011,UNKNOWN Tree,0.000118595,
3012,Abies concolor,0.035295954,
3012,Abies lasiocarpa,0.013337495,
3012,Acer glabrum,0.103763703,
3012,Acer grandidentatum,0.280820142,
3012,Cercocarpus ledifolius,0.019791975,
3012,Juniperus scopulorum,0.015760571,
3012,Pinus contorta,0.041946184,
3012,Populus angustifolia,0.003333051,
3012,Populus tremuloides,0.137895734,
3012,Pseudotsuga menziesii,0.093082067,
3012,Quercus gambelii,0.254973124,
3013,Betula papyrifera,0.031048698,
3013,Celtis occidentalis,0.041956891,
3013,Fraxinus pennsylvanica,0.053650654,
3013,Juglans nigra,0.015359753,
3013,Juniperus virginiana,0.227904924,
3013,Ostrya virginiana,0.001952701,
3013,Pinus ponderosa,0.145053531,
3013,Populus deltoides,0.058102214,
3013,Quercus macrocarpa,0.30071599,
3013,Tilia americana,0.094096258,
3013,Ulmus americana,0.028953846,
3013,Ulmus pumila,0.00120454,
3014,Abies concolor,0.004071237,
3014,Acer macrophyllum,0.011989274,
3014,Alnus rhombifolia,0.006292072,
3014,Alnus rubra,0.011687157,
3014,Arbutus menziesii,0.004453058,
3014,Eucalyptus,0.000740869,
3014,Juniperus californica,0.000545278,
3014,Lithocarpus densiflorus,0.048680757,
3014,Olneya tesota,0.010547008,
3014,Pinus attenuata,0.003002695,
3014,Pinus coulteri,0.057301709,
3014,Pinus jeffreyi,0.032314841,
3014,Pinus lambertiana,0.001018948,
3014,Pinus ponderosa,0.010497415,
3014,Pinus radiata,0.002914388,
3014,Pinus sabiniana,0.009241885,
3014,Platanus racemosa,0.006832542,
3014,Pseudotsuga macrocarpa,0.051613364,
3014,Pseudotsuga menziesii,0.015713861,
3014,Quercus,0.029860966,
3014,Quercus agrifolia,0.22977109,
3014,Quercus chrysolepis,0.313018898,
3014,Quercus douglasii,0.002428572,
3014,Quercus engelmannii,0.001069048,
3014,Quercus garryana,0.0025771,
3014,Quercus kelloggii,0.023474513,
3014,Quercus lobata,0.000389412,
3014,Quercus wislizeni,0.021490007,
3014,Salix,0.003144898,
3014,Sequoia sempervirens,0.076790762,
3014,Torreya californica,0.000108549,
3014,UNKNOWN Umbellularia/Vaccinium,0.006417828,
3015,Abies grandis,0.009724596,
3015,Acer macrophyllum,0.006060989,
3015,Aesculus,0.001446032,
3015,Alnus rubra,0.018532995,
3015,Arbutus menziesii,0.044804795,
3015,Castanopsis chrysophylla,0.000741434,
3015,Eucalyptus,0.000488795,
3015,Lithocarpus densiflorus,0.196413118,
3015,Picea sitchensis,0.005623664,
3015,Pinus attenuata,0.000919728,
3015,Pinus contorta,7.17E-05,
3015,Pinus lambertiana,0.001727771,
3015,Pinus muricata,0.00731073,
3015,Pinus ponderosa,0.001732817,
3015,Pinus radiata,0.000408226,
3015,Platanus racemosa,0.000166015,
3015,Pseudotsuga menziesii,0.132855993,
3015,Quercus agrifolia,0.032873894,
3015,Quercus chrysolepis,0.010232734,
3015,Quercus garryana,0.013901723,
3015,Quercus kelloggii,0.019779035,
3015,Quercus wislizeni,0.005273131,
3015,Salix,0.000600481,
3015,Sequoia sempervirens,0.485747049,
3015,Torreya californica,0.001115684,
3015,Tsuga heterophylla,0.001446873,
3016,Abies concolor,0.008937216,
3016,Abies lasiocarpa,0.000154844,
3016,Acer glabrum,0.0001799,
3016,Acer grandidentatum,0.0004245,
3016,Cercocarpus ledifolius,0.013480044,
3016,Juniperus deppeana,0.010189557,
3016,Juniperus monosperma,0.13229164,
3016,Juniperus osteosperma,0.417108545,
3016,Juniperus scopulorum,0.028187653,
3016,Olneya tesota,7.80E-06,
3016,Picea pungens,0.000416204,
3016,Pinus aristata,0.000246771,
3016,Pinus discolor,0.000203564,
3016,Pinus edulis,0.286940462,
3016,Pinus flexilis,0.00060852,
3016,Pinus ponderosa,0.038261453,
3016,Pinus quadrifolia,0.001677009,
3016,Populus angustifolia,0.001202063,
3016,Populus fremontii,7.04E-05,
3016,Populus tremuloides,0.007174294,
3016,Pseudotsuga menziesii,0.028727075,
3016,Quercus,0.005053464,
3016,Quercus,0.002025506,
3016,Quercus emoryi,5.08E-05,
3016,Quercus gambelii,0.016378325,
3016,Robinia neomexicana,2.39E-06,
3017,Abies concolor,0.068434871,
3017,Abies grandis,0.017328278,
3017,Cercocarpus ledifolius,0.003879069,
3017,Juniperus occidentalis,0.341006852,
3017,Pinus contorta,0.032358564,
3017,Pinus ponderosa,0.486585389,
3017,Pseudotsuga menziesii,0.050406976,
3018,Abies amabilis,0.023348561,
3018,Abies concolor,0.003724568,
3018,Abies grandis,0.233385979,
3018,Abies lasiocarpa,0.023388972,
3018,Abies magnifica,0.000848197,
3018,Abies procera,0.010786703,
3018,Acer macrophyllum,0.001070476,
3018,Alnus rubra,0.000283048,
3018,Arbutus menziesii,3.22E-05,
3018,Calocedrus decurrens,0.00028298,
3018,Castanopsis chrysophylla,6.76E-08,
3018,Chamaecyparis nootkatensis,0.000790472,
3018,Cornus nuttallii,8.25E-06,
3018,Fraxinus latifolia,3.38E-08,
3018,Juniperus occidentalis,3.38E-08,
3018,Larix occidentalis,0.02487489,
3018,Picea engelmannii,0.01383696,
3018,Pinus albicaulis,0.001024553,
3018,Pinus contorta,0.043067984,
3018,Pinus monticola,0.009573789,
3018,Pinus ponderosa,0.093936869,
3018,Populus tremuloides,0.00129935,
3018,Populus trichocarpa,0.002570496,
3018,Prunus,0.00048781,
3018,Pseudotsuga menziesii,0.425271425,
3018,Quercus garryana,0.002266752,
3018,Salix,0.000129688,
3018,Taxus brevifolia,9.81E-06,
3018,Thuja plicata,0.02642391,
3018,Tsuga heterophylla,0.042968765,
3018,Tsuga mertensiana,0.012804832,
3018,UNKNOWN Tree,0.001501575,
3019,Abies concolor,0.035540658,
3019,Abies lasiocarpa,0.000773223,
3019,Acer glabrum,3.93E-05,
3019,Calocedrus decurrens,0.004612368,
3019,Cercocarpus ledifolius,0.010549373,
3019,Fraxinus,0.006250519,
3019,Juniperus deppeana,3.64E-05,
3019,Juniperus monosperma,0.000693131,
3019,Juniperus occidentalis,0.003268255,
3019,Juniperus osteosperma,0.528842744,
3019,Juniperus scopulorum,0.006206541,
3019,Olneya tesota,0.001876234,
3019,Picea engelmannii,0.000929568,
3019,Pinus attenuata,9.02E-05,
3019,Pinus edulis,0.01208046,
3019,Pinus jeffreyi,0.044866881,
3019,Pinus lambertiana,0.002328355,
3019,Pinus ponderosa,0.016918659,
3019,Pinus quadrifolia,0.305584379,
3019,Pinus sabiniana,0.000281421,
3019,Populus tremuloides,0.000742503,
3019,Prosopis,2.30E-05,
3019,Pseudotsuga macrocarpa,0.000293033,
3019,Pseudotsuga menziesii,0.002675241,
3019,Quercus,0.000138151,
3019,Quercus,8.38E-05,
3019,Quercus chrysolepis,0.011102067,
3019,Quercus emoryi,0.000142174,
3019,Quercus gambelii,0.00303136,
3020,Pinus aristata,0.573792406,
3020,Pinus contorta,0.011165396,
3020,Pinus flexilis,0.409891455,
3020,Pinus jeffreyi,0.005150743,
3021,Acer macrophyllum,0.001401625,
3021,Arbutus menziesii,0.075870549,
3021,Calocedrus decurrens,0.039069837,
3021,Lithocarpus densiflorus,0.001842545,
3021,Pinus attenuata,0.004201289,
3021,Pinus contorta,0.037259555,
3021,Pinus jeffreyi,0.043937884,
3021,Pinus lambertiana,0.094826536,
3021,Pinus monticola,0.122525649,
3021,Pinus ponderosa,0.016224432,
3021,Pseudotsuga menziesii,0.473186312,
3021,Quercus chrysolepis,0.030323126,
3021,Quercus kelloggii,0.059330662,
3022,Abies concolor,0.031109723,
3022,Abies magnifica,0.004229777,
3022,Arbutus menziesii,0.030817885,
3022,Calocedrus decurrens,0.111238842,
3022,Castanopsis chrysophylla,0.008642889,
3022,Chamaecyparis lawsoniana,0.119836833,
3022,Lithocarpus densiflorus,0.000803489,
3022,Picea breweriana,0.002751881,
3022,Pinus attenuata,0.050274674,
3022,Pinus contorta,0.060770545,
3022,Pinus jeffreyi,0.136592251,
3022,Pinus lambertiana,0.029150107,
3022,Pinus monticola,0.127028015,
3022,Prunus,0.000348896,
3022,Pseudotsuga menziesii,0.273471663,
3022,Quercus chrysolepis,0.010209646,
3022,Salix,0.002722884,
3023,Juniperus deppeana,0.299381263,
3023,Juniperus monosperma,0.009137585,
3023,Juniperus osteosperma,0.042818499,
3023,Juniperus scopulorum,0.000849684,
3023,Pinus discolor,0.00726828,
3023,Pinus edulis,0.090801962,
3023,Pinus ponderosa,0.155514449,
3023,Prosopis,0.006170656,
3023,Quercus,0.166891856,
3023,Quercus,0.157099597,
3023,Quercus emoryi,0.050864031,
3023,Quercus gambelii,0.013202138,
3024,Abies concolor,0.058041721,
3024,Acer grandidentatum,0.005830177,
3024,Acer negundo,0.001607036,
3024,Juniperus deppeana,0.188691262,
3024,Juniperus osteosperma,0.001251993,
3024,Juniperus scopulorum,0.003422738,
3024,Pinus edulis,0.091826851,
3024,Pinus flexilis,0.004311902,
3024,Pinus leiophylla,0.005951639,
